Title,Description,Price,Rating
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Light Blue, 1 Year Warranty/Local Version","5,999",4.1
SAMSUNG,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Navy,1 Year Warranty/Local Version","12,662",4.2
SAMSUNG,"Galaxy A06 Dual Sim 6GB RAM 128GB Storage Android Smartphone, 6.7-Inch Screen Size, Gold- 1 Year Warranty/Local Version","7,500",NA
SAMSUNG,"Galaxy Z Fold6 (AI Phone) - 12GB RAM + 256GB Storage - Light Pink, 1 Year Local Warranty","69,999",2.7
SAMSUNG,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Lilac -1 Year Warranty/Local Version",NA,4.1
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Blue Black, 1 Year Warranty/Local Version","7,899",4.1
SAMSUNG,"Galaxy A05 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 64GB Storage,Silver- 1 Year Warranty/Local Version","4,199",3.8
SAMSUNG,"Galaxy A05 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Black- 1 Year Warranty/Local Version","4,649",3.9
SAMSUNG,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Navy -1 Year Warranty/Local Version","17,190",4.1
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Light Blue, 1 Year Warranty/Local Version","6,749",4.1
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Light Blue, 1 Year Warranty/Local Version","5,999",4.1
SAMSUNG,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Iceblue -1 Year Warranty/Local Version","17,080",4.1
SAMSUNG,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 64GB Storage, Black- 1 Year Warranty/Local Version","4,800",4.0
SAMSUNG,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Iceblue, 1 Year Warranty/Local Version","12,666",4.2
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Light Blue, 1 Year Warranty/Local Version","8,049",4.1
SAMSUNG,"Microwave oven 32 L, Tact & Dial, LED Display, Black (local warranty)","6,666",NA
SAMSUNG,"Galaxy A05 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage,Silver- 1 Year Warranty/Local Version","4,649",3.9
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Black Blue, 1 Year Warranty/Local Version","6,999",4.1
SAMSUNG,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Navy, 1 Year Warranty/Local Version","14,089",4.2
SAMSUNG,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Navy,1 Year Warranty/Local Version","12,662",4.2
SAMSUNG,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Lemon -1 Year Warranty/Local Version","15,799",4.1
SAMSUNG,"Galaxy Tab A9 LTE Android Tablet, 8GB RAM, 128GB Storage, Navy","9,219",4.2
SAMSUNG,"Galaxy S24+, AI Phone, 256GB Storage, 12GB RAM, Android Smartphone, 50MP Camera, Bigger Display, Faster RAM, Long Battery Life, Cobalt Violet-1 Year Warranty/Local Version","38,999",4.2
SAMSUNG,55 Inch QLED/The Frame 4K Smart TV with Built-in Receiver With 1 Frame - QA55LS03BAUXEG,"34,999",3.8
SAMSUNG,32 Inch Full HD Smart LED TV with Built-in Receiver - Black - UA32T5300AUXEG,"6,799",4.1
SAMSUNG,"Galaxy A35 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Iceblue, 1 Year Warranty/Local Version","14,450",4.2
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Blue Black, 1 Year Warranty/Local Version","6,499",4.1
SAMSUNG,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Lemon -1 Year Warranty/Local Version","17,090",4.1
SAMSUNG,50 Inch 4K UHD Smart LED TV - Black - UA50DU7000UXEG [2024 Model],"15,099",3.8
SAMSUNG,"Galaxy A05 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Light Green- 1 Year Warranty/Local Version","4,649",3.8
SAMSUNG,"Galaxy S24 Ultra, AI Phone, 256GB Storage, Titanium Gray, 12GB RAM, Android Smartphone, 200MP Camera, S Pen, Long Battery Life","44,975",4.0
SAMSUNG,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Navy -1 Year Warranty/Local Version","15,800",4.1
SAMSUNG,"Galaxy A25, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Blue Black, 1 Year Warranty/Local Version",NA,3.8
SAMSUNG,"Galaxy A15, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Yellow, 1 Year Warranty/Local Version","7,099",4.1
SAMSUNG,"Galaxy S23 FE 5G Dual SIM Android Smartphone, 8GB RAM, 256GB ROM - Graphite - 1 Year Warranty/Local Version","24,555",4.0
SAMSUNG,"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 64GB Storage, Silver- 1 Year Warranty/Local Version","4,899",4.0
SAMSUNG,WW90T534DAN1AS Digital Inverter Front Loading Washing Machine With Wi-Fi - 9Kg - Inox- (local warranty),"19,977",4.2
SAMSUNG,"Galaxy S23 FE 5G Dual SIM Android Smartphone, 8GB RAM, 256GB ROM - Purple - 1 Year Warranty/Local Version","23,888",4.0
SAMSUNG,"Galaxy S23 FE 5G Dual SIM Android Smartphone, 8GB RAM, 256GB ROM - Mint - 1 Year Warranty/Local Version","23,888",4.0
SAMSUNG,50 Inch TV Crystal Processor 4K LED - Titan Gray - UA50DU8000UXEG [2024 Model],"15,799",3.7
SAMSUNG,Refrigerator RT30A3300SA/MR 305 Liters - 11 Cubic Feet - Metal Graphite- (local warranty),"15,752",3.9
SAMSUNG,"Galaxy S24+, AI Phone, 256GB Storage, 12GB RAM, Android Smartphone, 50MP Camera, Bigger Display, Faster RAM, Long Battery Life, Marble Gray-1 Year Warranty/Local Version","38,999",4.2
SAMSUNG,"Galaxy A06 Dual Sim 6GB RAM 128GB Storage Android Smartphone, 6.7-Inch Screen Size, Black- 1 Year Warranty/Local Version","6,949",NA
SAMSUNG,65 Inch 4K UHD Smart LED TV - Black - UA65DU7000UXEG [2024 Model],"20,449",3.8
SAMSUNG,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Lilac -1 Year Warranty/Local Version","15,800",4.1
SAMSUNG,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Iceblue -1 Year Warranty/Local Version","15,888",4.1
SAMSUNG,43 Inch TV Crystal Processor 4K LED - Titan Gray - UA43DU8000UXEG [2024 Model],"12,999",3.7
SAMSUNG,"Galaxy S24 Ultra, AI Phone, 256GB Storage, Titanium Black, 12GB RAM, Android Smartphone, 200MP Camera, S Pen, Long Battery Life","45,649",4.0
SAMSUNG,"Combined refrigerator RB34A6B0E41/MR, 344L - 13 Cubic Feet - with Bottom Freezer - Blue","20,529",4.3
SAMSUNG,WW70T4020CX1AS Digital Inverter Front Loading Washing Machine - 7Kg - Inox- (local warranty),"17,777",4.2
SAMSUNG,"Galaxy Buds FE, Wireless Earbuds, with Charging Case, Active Noise-Cancelling and Sound Customization, Graphite-1 Year Local Warranty","2,950",4.2
SAMSUNG,"Galaxy S24+, AI Phone, 256GB Storage, 12GB RAM, Android Smartphone, 50MP Camera, Bigger Display, Faster RAM, Long Battery Life, Cobalt Violet-1 Year Warranty/Local Version","38,999",4.2
SAMSUNG,55 Inch TV Crystal Processor 4K LED - Titan Gray - UA55DU8000UXEG [2024 Model],"17,999",3.7
SAMSUNG,"Galaxy Tab A9 LTE Android Tablet, 8GB RAM, 128GB Storage, Graphite","9,199",4.2
SAMSUNG,"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Navy - International Warranty","16,990",4.1
SAMSUNG,"Galaxy Tab A9 LTE Android Tablet, 8GB RAM, 128GB Storage, Navy","9,219",4.2
SAMSUNG,"Galaxy Z Fold5 Folding Phone, Android Smartphone, 12GB RAM, 512GB Storage, Extended Battery Life, High Resolution Camera, Phantom Black (UAE Version)","59,550",4.3
SAMSUNG,32 Inch Full HD Smart LED TV with Built-in Receiver - Black - UA32T5300AUXEG,"6,799",4.1
SAMSUNG,43 Inch 4K UHD Smart LED TV - Black - UA43DU7000UXEG [2024 Model],"12,599",3.8
SAMSUNG,55 Inch TV Crystal Processor 4K LED - Titan Gray - UA55DU8000UXEG [2024 Model],"17,999",3.7
